[2018-10-31 21:39:03,644)]-log.py-INFO:======================获取access_token===================
[2018-10-31 21:41:50,215)]-log.py-INFO:======================获取access_token===================
[2018-10-31 21:45:01,990)]-log.py-INFO:======================获取access_token===================
[2018-10-31 22:11:57,761)]-log.py-INFO:======================获取access_token===================
[2018-10-31 22:11:57,772)]-log.py-INFO:==================================================getToken==============================================
[2018-10-31 22:11:57,773)]-log.py-INFO:Url: http://api.ehaoyao.com/uat/auth/v1/oauth2/token
[2018-10-31 22:21:15,952)]-log.py-INFO:======================获取access_token===================
[2018-10-31 22:21:15,962)]-log.py-INFO:==================================================getToken==============================================
[2018-10-31 22:21:15,963)]-log.py-INFO:Url: http://api.ehaoyao.com/uat/auth/v1/oauth2/token
[2018-10-31 22:21:32,804)]-log.py-INFO:======================获取access_token===================
[2018-10-31 22:21:32,813)]-log.py-INFO:==================================================getToken==============================================
[2018-10-31 22:21:32,814)]-log.py-INFO:Url: http://api.ehaoyao.com/uat/auth/v1/oauth2/token
[2018-10-31 22:25:39,500)]-log.py-INFO:======================获取access_token===================
[2018-10-31 22:25:39,510)]-log.py-INFO:==================================================getToken==============================================
[2018-10-31 22:25:39,512)]-log.py-INFO:Url: http://api.ehaoyao.com/uat/auth/v1/oauth2/token
[2018-10-31 22:26:13,998)]-log.py-INFO:======================获取access_token===================
[2018-10-31 22:30:11,633)]-log.py-INFO:==================================================getToken==============================================
[2018-10-31 22:30:17,719)]-log.py-INFO:Url: http://api.ehaoyao.com/uat/auth/v1/oauth2/token
[2018-10-31 22:34:49,497)]-log.py-INFO:======================获取access_token===================
[2018-10-31 22:34:49,508)]-log.py-INFO:==================================================getToken==============================================
[2018-10-31 22:34:49,509)]-log.py-INFO:Url: http://api.ehaoyao.com/uat/auth/v1/oauth2/token
